date,market,channel,currency,fx_rate_from_eur,spend,impressions,clicks,new_customers
2024-01-01,at,direct,EUR,1.0,0.00,0,0,0
2024-01-01,at,email,EUR,1.0,0.03,18,1,0
2024-01-01,at,google,EUR,1.0,0.30,15,0,0
2024-01-01,at,meta,EUR,1.0,3.90,374,3,0
2024-01-01,at,organic,EUR,1.0,0.00,0,0,0
2024-01-01,de,direct,EUR,1.0,0.00,0,0,1
2024-01-01,de,email,EUR,1.0,0.17,96,5,0
2024-01-01,de,google,EUR,1.0,2.10,63,2,0
2024-01-01,de,meta,EUR,1.0,11.65,1478,30,0
2024-01-01,de,organic,EUR,1.0,0.00,0,0,0
2024-01-01,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-01,fr,email,EUR,1.0,0.08,59,4,0
2024-01-01,fr,google,EUR,1.0,1.38,45,1,0
2024-01-01,fr,meta,EUR,1.0,8.73,828,10,0
2024-01-01,fr,organic,EUR,1.0,0.00,0,0,1
2024-01-02,at,direct,EUR,1.0,0.00,0,0,0
2024-01-02,at,email,EUR,1.0,0.03,26,1,0
2024-01-02,at,google,EUR,1.0,0.23,12,0,0
2024-01-02,at,meta,EUR,1.0,1.38,174,4,0
2024-01-02,at,organic,EUR,1.0,0.00,0,0,0
2024-01-02,de,direct,EUR,1.0,0.00,0,0,0
2024-01-02,de,email,EUR,1.0,0.15,91,1,0
2024-01-02,de,google,EUR,1.0,2.22,95,10,0
2024-01-02,de,meta,EUR,1.0,12.89,1509,19,0
2024-01-02,de,organic,EUR,1.0,0.00,0,0,0
2024-01-02,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-02,fr,email,EUR,1.0,0.10,85,2,0
2024-01-02,fr,google,EUR,1.0,1.44,43,3,1
2024-01-02,fr,meta,EUR,1.0,19.53,2709,27,0
2024-01-02,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-03,at,direct,EUR,1.0,0.00,0,0,0
2024-01-03,at,email,EUR,1.0,0.04,22,1,0
2024-01-03,at,google,EUR,1.0,0.28,15,0,0
2024-01-03,at,meta,EUR,1.0,2.81,257,2,0
2024-01-03,at,organic,EUR,1.0,0.00,0,0,0
2024-01-03,de,direct,EUR,1.0,0.00,0,0,0
2024-01-03,de,email,EUR,1.0,0.12,81,2,0
2024-01-03,de,google,EUR,1.0,3.03,168,10,0
2024-01-03,de,meta,EUR,1.0,13.34,1800,19,0
2024-01-03,de,organic,EUR,1.0,0.00,0,0,0
2024-01-03,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-03,fr,email,EUR,1.0,0.14,77,0,0
2024-01-03,fr,google,EUR,1.0,0.68,26,2,0
2024-01-03,fr,meta,EUR,1.0,15.39,1665,21,0
2024-01-03,fr,organic,EUR,1.0,0.00,0,0,0
2024-01-04,at,direct,EUR,1.0,0.00,0,0,0
2024-01-04,at,email,EUR,1.0,0.06,62,2,0
2024-01-04,at,google,EUR,1.0,0.34,11,1,0
2024-01-04,at,meta,EUR,1.0,1.76,191,5,0
2024-01-04,at,organic,EUR,1.0,0.00,0,0,0
2024-01-04,de,direct,EUR,1.0,0.00,0,0,0
2024-01-04,de,email,EUR,1.0,0.09,48,1,0
2024-01-04,de,google,EUR,1.0,4.09,136,5,0
2024-01-04,de,meta,EUR,1.0,22.87,2329,26,0
2024-01-04,de,organic,EUR,1.0,0.00,0,0,0
2024-01-04,fr,direct,EUR,1.0,0.00,0,0,0
2024-01-04,fr,email,EUR,1.0,0.17,101,3,0
