id,order_id,variant_id,quantity,unit_price
item-000000001-01,ord-000000001,var-garden-decor-planters-005-01,1,26.90
item-000000001-02,ord-000000001,var-garden-decor-planters-009-03,1,19.90
item-000000002-01,ord-000000002,var-garden-decor-garden-furniture-004-02,1,167.00
item-000000002-02,ord-000000002,var-garden-decor-garden-furniture-007-02,1,343.00
item-000000002-03,ord-000000002,var-garden-decor-planters-012-02,1,42.90
item-000000003-01,ord-000000003,var-garden-decor-planters-012-01,1,42.90
item-000000004-01,ord-000000004,var-garden-decor-outdoor-lighting-007-03,1,165.00
item-000000004-02,ord-000000004,var-garden-decor-planters-005-01,1,26.90
item-000000004-03,ord-000000004,var-garden-decor-planters-007-01,1,65.90
item-000000005-01,ord-000000005,var-garden-decor-outdoor-lighting-002-02,1,44.90
item-000000005-02,ord-000000005,var-garden-decor-outdoor-lighting-007-03,1,165.00
item-000000005-03,ord-000000005,var-garden-decor-planters-008-03,1,73.90
item-000000006-01,ord-000000006,var-garden-decor-garden-furniture-005-02,1,288.00
item-000000006-02,ord-000000006,var-garden-decor-planters-002-01,1,119.00
item-000000006-03,ord-000000006,var-garden-decor-planters-005-02,1,26.90
item-000000007-01,ord-000000007,var-garden-decor-planters-005-01,1,26.90
item-000000007-02,ord-000000007,var-garden-decor-planters-007-03,1,65.90
item-000000008-01,ord-000000008,var-garden-decor-outdoor-lighting-006-02,1,133.00
item-000000008-02,ord-000000008,var-garden-decor-planters-012-02,1,42.90
item-000000009-01,ord-000000009,var-garden-decor-garden-furniture-004-01,1,167.00
item-000000009-02,ord-000000009,var-garden-decor-planters-004-02,1,60.90
item-000000010-01,ord-000000010,var-garden-decor-planters-003-03,1,77.90
item-000000010-02,ord-000000010,var-garden-decor-planters-010-02,1,72.90
item-000000011-01,ord-000000011,var-garden-decor-planters-001-02,2,77.90
item-000000012-01,ord-000000012,var-garden-decor-garden-furniture-002-01,1,589.00
item-000000012-02,ord-000000012,var-garden-decor-outdoor-lighting-012-01,1,166.00
item-000000013-01,ord-000000013,var-garden-decor-planters-009-01,1,19.90
item-000000013-02,ord-000000013,var-garden-decor-planters-011-02,1,28.90
item-000000014-01,ord-000000014,var-garden-decor-outdoor-lighting-011-02,1,77.90
item-000000015-01,ord-000000015,var-garden-decor-garden-furniture-006-01,1,291.00
item-000000015-02,ord-000000015,var-garden-decor-planters-002-02,1,119.00
item-000000016-01,ord-000000016,var-garden-decor-planters-004-02,1,60.90
