id,customer_id,market,created_at,currency,fx_rate_from_eur,subtotal,discount,shipping,tax,total,discount_code,is_repeat
ord-000000001,cust-fr-000001,fr,2024-01-01T21:15:24.353758Z,EUR,1.0,46.80,0.00,5.90,8.78,52.70,,False
ord-000000002,cust-fr-000002,fr,2024-01-09T21:59:50.064580Z,EUR,1.0,552.90,101.40,5.90,76.23,457.40,SAVE18,False
ord-000000003,cust-de-000001,de,2024-01-12T18:29:32.942115Z,EUR,1.0,42.90,0.00,4.90,7.63,47.80,,False
ord-000000004,cust-de-000002,de,2024-01-13T20:34:58.914285Z,EUR,1.0,257.80,0.00,4.90,41.94,262.70,,False
ord-000000005,cust-fr-000004,fr,2024-01-18T17:02:32.651982Z,EUR,1.0,283.80,0.00,5.90,48.28,289.70,,False
ord-000000006,cust-at-000001,at,2024-01-19T19:31:11.923142Z,EUR,1.0,433.90,0.00,5.90,73.30,439.80,,False
ord-000000007,cust-de-000003,de,2024-01-19T19:52:15.282261Z,EUR,1.0,92.80,0.00,4.90,15.60,97.70,,False
ord-000000008,cust-fr-000003,fr,2024-01-19T17:46:40.455240Z,EUR,1.0,175.90,0.00,5.90,30.30,181.80,,False
ord-000000009,cust-de-000004,de,2024-01-20T19:57:04.487461Z,EUR,1.0,227.90,38.42,4.90,31.04,194.38,SAVE17,False
ord-000000010,cust-fr-000005,fr,2024-01-20T13:38:25.460904Z,EUR,1.0,150.80,18.13,5.90,23.10,138.57,SAVE12,False
ord-000000011,cust-de-000005,de,2024-01-21T16:01:59.011920Z,EUR,1.0,155.80,0.00,4.90,25.66,160.70,,False
ord-000000012,cust-de-000006,de,2024-01-22T19:46:09.571177Z,EUR,1.0,755.00,0.00,4.90,121.33,759.90,,False
ord-000000013,cust-fr-000006,fr,2024-01-25T13:09:28.160081Z,EUR,1.0,48.80,0.00,5.90,9.12,54.70,,False
ord-000000014,cust-at-000002,at,2024-01-26T16:53:52.448423Z,EUR,1.0,77.90,0.00,5.90,13.97,83.80,,False
ord-000000015,cust-de-000007,de,2024-01-27T12:37:52.607829Z,EUR,1.0,410.00,94.75,4.90,51.12,320.15,SAVE23,False
