id,order_id,order_item_id,reason,refund_amount,created_at
ret-000000001,ord-000000005,item-000000005-02,not_as_expected,71.90,2024-02-09T16:33:46.952891Z
ret-000000002,ord-000000009,item-000000009-01,changed_mind,113.00,2024-02-05T11:35:25.876850Z
ret-000000003,ord-000000013,item-000000013-01,too_large,633.00,2024-02-08T19:43:59.250382Z
ret-000000004,ord-000000017,item-000000017-03,defective,122.00,2024-02-10T11:51:48.775697Z
ret-000000005,ord-000000029,item-000000029-01,defective,75.90,2024-03-03T10:47:19.585633Z
ret-000000006,ord-000000050,item-000000050-01,not_as_expected,209.00,2024-04-06T05:45:57.509131Z
ret-000000007,ord-000000051,item-000000051-01,defective,147.00,2024-04-08T22:18:06.529882Z
ret-000000008,ord-000000054,item-000000054-01,defective,38.90,2024-04-14T12:03:37.041062Z
ret-000000009,ord-000000073,item-000000073-01,defective,93.90,2024-04-12T08:45:40.082130Z
ret-000000010,ord-000000078,item-000000078-01,damaged,38.90,2024-04-22T11:33:10.834323Z
ret-000000011,ord-000000092,item-000000092-01,not_as_expected,77.90,2024-05-09T04:44:22.449280Z
ret-000000012,ord-000000111,item-000000111-03,damaged,71.90,2024-05-16T05:59:20.962401Z
ret-000000013,ord-000000132,item-000000132-01,damaged,33.90,2024-06-01T22:39:17.031674Z
ret-000000014,ord-000000141,item-000000141-01,changed_mind,257.00,2024-06-07T08:30:54.885813Z
ret-000000015,ord-000000154,item-000000154-01,changed_mind,122.00,2024-06-09T14:02:36.771789Z
ret-000000016,ord-000000156,item-000000156-01,defective,75.90,2024-06-08T10:32:33.106140Z
ret-000000017,ord-000000157,item-000000157-02,not_as_expected,33.90,2024-06-09T15:33:04.035677Z
ret-000000018,ord-000000164,item-000000164-02,damaged,71.90,2024-05-28T10:32:27.932285Z
ret-000000019,ord-000000184,item-000000184-01,changed_mind,109.00,2024-06-12T18:12:03.364698Z
ret-000000020,ord-000000199,item-000000199-03,damaged,30.90,2024-06-28T20:46:13.312325Z
ret-000000021,ord-000000203,item-000000203-01,defective,72.90,2024-07-20T03:06:48.508436Z
ret-000000022,ord-000000211,item-000000211-04,too_large,117.00,2024-07-18T16:41:06.560712Z
ret-000000023,ord-000000239,item-000000239-01,defective,71.90,2024-07-23T22:03:40.789385Z
ret-000000024,ord-000000241,item-000000241-02,damaged,122.00,2024-08-06T11:44:40.634588Z
ret-000000025,ord-000000256,item-000000256-01,not_as_expected,27.90,2024-08-18T01:16:21.996912Z
ret-000000026,ord-000000258,item-000000258-02,damaged,30.90,2024-08-31T02:59:12.380497Z
ret-000000027,ord-000000261,item-000000261-01,defective,75.90,2024-08-31T12:35:52.256828Z
ret-000000028,ord-000000268,item-000000268-01,damaged,53.90,2024-08-31T00:24:13.761151Z
ret-000000029,ord-000000285,item-000000285-03,not_as_expected,71.90,2024-09-20T20:04:49.257319Z
ret-000000030,ord-000000286,item-000000286-02,not_as_expected,53.90,2024-09-24T14:56:35.203840Z
ret-000000031,ord-000000288,item-000000288-01,changed_mind,397.00,2024-10-05T15:48:08.648022Z
ret-000000032,ord-000000291,item-000000291-02,damaged,27.90,2024-10-02T16:11:53.701510Z
ret-000000033,ord-000000318,item-000000318-03,damaged,33.90,2024-11-03T17:12:25.222685Z
ret-000000034,ord-000000330,item-000000330-01,damaged,113.00,2024-10-30T13:10:31.982067Z
ret-000000035,ord-000000334,item-000000334-01,too_large,257.00,2024-11-20T12:18:09.784631Z
ret-000000036,ord-000000348,item-000000348-04,damaged,77.90,2024-11-19T18:42:07.468925Z
ret-000000037,ord-000000352,item-000000352-01,damaged,193.00,2024-12-03T20:16:24.677000Z
ret-000000038,ord-000000352,item-000000352-02,damaged,75.90,2024-11-26T20:16:24.677000Z
ret-000000039,ord-000000361,item-000000361-01,not_as_expected,153.00,2024-12-02T23:07:28.245854Z
ret-000000040,ord-000000378,item-000000378-02,damaged,109.00,2025-01-10T17:09:46.715626Z
ret-000000041,ord-000000381,item-000000381-02,not_as_expected,65.90,2025-01-06T14:07:48.732185Z
ret-000000042,ord-000000391,item-000000391-01,too_large,113.00,2025-01-16T18:54:47.004511Z
ret-000000043,ord-000000392,item-000000392-01,damaged,397.00,2025-01-17T07:41:46.774505Z
