id,product_id,sku,option_name,option_value,price_eur,inventory
var-garden-decor-garden-furniture-001-01,prod-garden-decor-garden-furniture-001,GARDEN-DECOR-GARDEN-FURNITURE-001-MATERIAL-ACACIA,material,Acacia,329.60,239
var-garden-decor-garden-furniture-001-02,prod-garden-decor-garden-furniture-001,GARDEN-DECOR-GARDEN-FURNITURE-001-MATERIAL-METAL,material,Metal,329.60,190
var-garden-decor-garden-furniture-001-03,prod-garden-decor-garden-furniture-001,GARDEN-DECOR-GARDEN-FURNITURE-001-MATERIAL-RATTAN,material,Rattan,329.60,194
var-garden-decor-garden-furniture-002-01,prod-garden-decor-garden-furniture-002,GARDEN-DECOR-GARDEN-FURNITURE-002-COLOR-NATURAL,color,Natural,152.15,166
var-garden-decor-garden-furniture-002-02,prod-garden-decor-garden-furniture-002,GARDEN-DECOR-GARDEN-FURNITURE-002-COLOR-OLIVE,color,Olive,152.15,113
var-garden-decor-garden-furniture-002-03,prod-garden-decor-garden-furniture-002,GARDEN-DECOR-GARDEN-FURNITURE-002-COLOR-GRAPHITE,color,Graphite,152.15,207
var-garden-decor-garden-furniture-003-01,prod-garden-decor-garden-furniture-003,GARDEN-DECOR-GARDEN-FURNITURE-003-MATERIAL-ACACIA,material,Acacia,208.75,161
var-garden-decor-garden-furniture-003-02,prod-garden-decor-garden-furniture-003,GARDEN-DECOR-GARDEN-FURNITURE-003-MATERIAL-METAL,material,Metal,208.75,53
var-garden-decor-garden-furniture-003-03,prod-garden-decor-garden-furniture-003,GARDEN-DECOR-GARDEN-FURNITURE-003-MATERIAL-RATTAN,material,Rattan,208.75,188
var-garden-decor-garden-furniture-004-01,prod-garden-decor-garden-furniture-004,GARDEN-DECOR-GARDEN-FURNITURE-004-COLOR-NATURAL,color,Natural,633.27,126
var-garden-decor-garden-furniture-004-02,prod-garden-decor-garden-furniture-004,GARDEN-DECOR-GARDEN-FURNITURE-004-COLOR-OLIVE,color,Olive,633.27,131
var-garden-decor-garden-furniture-004-03,prod-garden-decor-garden-furniture-004,GARDEN-DECOR-GARDEN-FURNITURE-004-COLOR-GRAPHITE,color,Graphite,633.27,31
var-garden-decor-garden-furniture-005-01,prod-garden-decor-garden-furniture-005,GARDEN-DECOR-GARDEN-FURNITURE-005-MATERIAL-ACACIA,material,Acacia,469.02,107
var-garden-decor-garden-furniture-005-02,prod-garden-decor-garden-furniture-005,GARDEN-DECOR-GARDEN-FURNITURE-005-MATERIAL-METAL,material,Metal,469.02,41
var-garden-decor-garden-furniture-005-03,prod-garden-decor-garden-furniture-005,GARDEN-DECOR-GARDEN-FURNITURE-005-MATERIAL-RATTAN,material,Rattan,469.02,129
var-garden-decor-garden-furniture-006-01,prod-garden-decor-garden-furniture-006,GARDEN-DECOR-GARDEN-FURNITURE-006-COLOR-NATURAL,color,Natural,153.18,118
var-garden-decor-garden-furniture-006-02,prod-garden-decor-garden-furniture-006,GARDEN-DECOR-GARDEN-FURNITURE-006-COLOR-OLIVE,color,Olive,153.18,52
var-garden-decor-garden-furniture-006-03,prod-garden-decor-garden-furniture-006,GARDEN-DECOR-GARDEN-FURNITURE-006-COLOR-GRAPHITE,color,Graphite,153.18,207
var-garden-decor-garden-furniture-007-01,prod-garden-decor-garden-furniture-007,GARDEN-DECOR-GARDEN-FURNITURE-007-MATERIAL-ACACIA,material,Acacia,257.36,86
var-garden-decor-garden-furniture-007-02,prod-garden-decor-garden-furniture-007,GARDEN-DECOR-GARDEN-FURNITURE-007-MATERIAL-METAL,material,Metal,257.36,72
var-garden-decor-garden-furniture-007-03,prod-garden-decor-garden-furniture-007,GARDEN-DECOR-GARDEN-FURNITURE-007-MATERIAL-RATTAN,material,Rattan,257.36,175
var-garden-decor-garden-furniture-008-01,prod-garden-decor-garden-furniture-008,GARDEN-DECOR-GARDEN-FURNITURE-008-COLOR-NATURAL,color,Natural,193.14,176
var-garden-decor-garden-furniture-008-02,prod-garden-decor-garden-furniture-008,GARDEN-DECOR-GARDEN-FURNITURE-008-COLOR-OLIVE,color,Olive,193.14,79
